АТС;Линейно-технический цех ОАО Ростелеком;;60 лет ВЛКСМ, 3;;;83467732477;;;;;;;;;;;;;;;;;;;;;;;
Администрации | управления;Росреестр. Кондинский отдел;;Титова, 26;;;83467732711;;;;;;;;;;;;;;;;;;;;;;;
Администрации | управления;Отдел сводных статистических работ в Кондинском районе;;Титова, 14;8(34677)32-299;;8(34677)32-170;;;;;;;;;;;;;;;;;;;;;;;
Администрации | управления;Отдел по делам несовершеннолетних и защите их прав;;Толстого, 29;8(34677)41-026;;8(34677)36-017;;;;;;;;;;;;;;;;;;;;;;;
Администрации | управления;УРС Управление рабочего снабжения Сибнефтепровод;;Береговая, 17;;;83467732821;;;;;;;;;;;;;;;;;;;;;;;
Администрации | управления;Многофункциональный центр (МФЦ);;Титова, 26;;;83467735264;;;;;;;;;;;;;;;;;;;;;;;
Администрации | управления;КУ Центр социальных выплат Югры (филиал);;Комбинатская, 2;;;83467732673;;;;;;;;;;;;;;;;;;;;;;;
Администрации | управления;Контрольно-счетная палата Кондинского района;;Толстого, 29;8(34677)32-470;;8(34677)32-593;;8(34677)34-661;;;;;;;;;;;;;;;;;;;;;;;
Администрации | управления;Комитет по управлению муниципальным имуществом;;Титова, д.24;8(34677)32-345;;8(34677)41-977;;;;;;;;;;;;;;;;;;;;;;;
Администрации | управления;Избирательная комиссия муниципального образования;;Гагарина, 11;;;83467734471;;;;;;;;;;;;;;;;;;;;;;;
Администрации | управления;Дума Кондинского района;;Титова, 26;8(34677)42-408;;8(34677)54-313;;;;;;;;;;;;;;;;;;;;;;;
Администрации | управления;Государственная жилищная инспекция;;Титова, 14;;;83467734970;;;;;;;;;;;;;;;;;;;;;;;
Администрации | управления;Администрация Кондинского района;Государственное учреждение;Титова, 21;;;83467733540;;;;;;;;;;;;;;;;;;;;;;;
Администрации | управления;Администрация городского поселения Междуреченский;Государственное учреждение;Гагарина, 11;8(34677)35-068;;8(34677)36-306;;;;;;;;;;;;;;;;;;;;;;;
Администрации | управления;УФ службы государственной регистрации, кадастра;;Первомайская, 23 - А;8(34677)32-711;;8(34677)34-967;;8(34677)32-940;;;;;;;;;;;;;;;;;;;;;;;
Администрации | управления;Управление Федеральной службы исполнения наказаний;;Титова, 14;;;83467734884;;;;;;;;;;;;;;;;;;;;;;;
Администрации | управления;Управление социальной защиты по Кондинскому району;;Комбинатская, 2;;;83467732157;;;;;;;;;;;;;;;;;;;;;;;
Администрации | управления;Управление опеки и попечительства;;Толстого, 29;;;83467735173;;;;;;;;;;;;;;;;;;;;;;;
Администрации | управления;Конда, МУК Районный Дворец культуры и искусств;;Волгоградская, 11 - А;8(34677)33-527;;8(34677)41-156;;8(34677)34-980;;8(34677)34-036;;8(34677)41-866;;;;;;;;;;;;;;;;;;;;;;;
Антенны;Спец ТВ;;Днепропетровская, 1 - Б;;;83467741617;;;;;;;;;;;;;;;;;;;;;;;
Антенны;StelCom2;Ремонт бытовой техники;Набережная, 45;8(34677)41-271;;89220720520;;;;;;;;;;;;;;;;;;;;;;;
Аптеки;Кондинская аптека;;Дружбы, 9 - А;8(34677)41-936;;8(34677)34-002;;;;;;;;;;;;;;;;;;;;;;;
Аптеки;ООО Мегафарм;Аптечный пункт;Центральная, 2;;;83467732080;;;;;;;;;;;;;;;;;;;1;1;7;
Аптеки;Аптечный пункт (ул.Толстого);Аптека;Толстого, 21 - А;;;83467741245;;;;;;;;;;;;;;;;;;;;;;;
Аптеки;На здоровье, Аптека;;Толстого, 30;;;83467736161;;;;;;;;;;;;;;;;;;;;;;;
Аптеки;Ригла, Аптека;;Гагарина, 11;;;83467732451;;;;;;;;;;;;;;;;;;;;;;;
Архивы;Архивный отдел;Государственное учреждение;Титова, 1;8(34677)32-461;;8(34677)34-495;;;;;;;;;;;;;;;;;;;;;;;
Архитекторы | архитектурно-строительное проектирование;Управление капитального строительства Кондинского района;;Титова, 14;;;83467741868;;;;;;;;;;;;;;;;;;;;;;;
Ателье швейные;Гармония, Ателье - магазин;;Ленина, 11;89505079826;;89044651106;;;;;;;;;;;;;;;;;;;;;;;
Ателье швейные;Дамское счастье, Салон - магазин, Ателье;;Ленина, 11;Отсутствует;;;;;;;;;;;;;;;;;;;;;;;
Ателье швейные;Дом быта, ремонт одежды;;Гагарина, 13;8(34677)32-704;;89224076755;;;;;;;;;;;;;;;;;;;;;;;
Аудио- | видеотехника;Лидер, Магазин бытовой техники;;Сибирская, 115;;;83467741195;;;;;;;;;;;;;;;;;;;;;;;
Аудио- | видеотехника;КГБ, Магазин бытовой техники;;Первомайская, 27;;;83467741010;;;;;;;;;;;;;;;;;;;;;;;
Аудио- | видеотехника;Связной;;Толстого, 36;;;88007004343;;;;;;;;;;;;;;;;;;;;;;;
Аудио- | видеотехника;Цифровая техника, Магазин;;Толстого, 21 - А;;;83467735095;;;;;;;;;;;;;;;;;;;;;;;
Аудио- | видеотехника;Эльдорадо, Магазин бытовой техники;;Титова, 34;;;83467741424;;;;;;;;;;;;;;;;;;;;;;;
Аудио- | видеотехника;StelCom2;Ремонт бытовой техники;Набережная, 45;8(34677)41-271;;89220720520;;;;;;;;;;;;;;;;;;;;;;;
Аудио- | видеотехника;Сапфир, Магазин хозтоваров;;Толстого, 24 - 2;Отсутствует;;;;;;;;;;;;;;;;;;;;;;;
Аудио- | видеотехника;Спец ТВ;;Днепропетровская, 1 - Б;;;83467741617;;;;;;;;;;;;;;;;;;;;;;;
Аудио- | видеотехника;Сервисный центр КиберЛэнд;;Титова 34 (Эльдорадо 2 этаж);;;89044684615;;;;;;;;;;;;;;;;;;;;6;;;
Аудио- | видеотехника;Мебель, Магазин мебели;;Титова, 26;;;83467741069;;;;;;;;;;;;;;;;;;;;;;;
Аудио- | видеотехника - ремонт;Сервисный центр КиберЛэнд;;Титова 34 (Эльдорадо 2 этаж);;;89044684615;;;;;;;;;;;;;;;;;;;;100;;https://dl.dropboxusercontent.com/s/665ejhswg3pyls0/%D0%9F%D0%9F%20-%20mid.jpg?dl=0;
Аудио- | видеотехника - ремонт;StelCom2;Ремонт бытовой техники;Набережная, 45;8(34677)41-271;;89220720520;;;;;;;;;;;;;;;;;;;;;;;
Аудиторы;ООО Консталинг стандарт (Магазин Стиль+);;Титова, 14;;;83467741308;;;;;;;;;;;;;;;;;;;;;;;
Аудиторы;ООО Бизнес плюс;;Дзержинского, 181;8(34677)35-161;;89505142002;;;;;;;;;;;;;;;;;;;;;;;
Аудиторы;ООО Инком сервис;;Комарова, 3;;;83467733115;;;;;;;;;;;;;;;;;;;;;;;
Балконы | лоджии - остекление | отделка;Gealan;Продажа пластиковых окон;Дзержинского, 181;8(34677)35-199;;89044651580;;;;;;;;;;;;;;;;;;;;;;;
